status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 9,996533e-04; 2,047392e-03;CREBZF;1109;TRUE
OK;negbinomial.size; 1,254843e-14; 5,345430e-14;SYTL2;2257;TRUE
OK;negbinomial.size; 6,571214e-06; 1,621194e-05;PICALM;2344;TRUE
OK;negbinomial.size; 2,671422e-04; 5,762319e-04;EED;1269;TRUE
OK;negbinomial.size; 7,936131e-26; 5,616243e-25;C11orf73;3619;TRUE
OK;negbinomial.size; 8,280680e-01; 1,000000e+00;ME3;  15;FALSE
OK;negbinomial.size; 2,800018e-14; 1,167302e-13;PRSS23;4038;TRUE
OK;negbinomial.size; 6,171636e-01; 8,624355e-01;RP11-736K20.5; 130;FALSE
OK;negbinomial.size; 7,278864e-01; 9,851358e-01;FZD4; 156;FALSE
OK;negbinomial.size; 9,222501e-01; 1,000000e+00;RP11-736K20.6; 114;FALSE
OK;negbinomial.size; 7,397997e-02; 1,236532e-01;TMEM135; 421;TRUE
OK;negbinomial.size; 4,134599e-27; 3,066054e-26;NOX4;1024;TRUE
OK;negbinomial.size; 6,373130e-01; 8,859760e-01;NAALAD2;  54;FALSE
OK;negbinomial.size; 3,876015e-29; 3,088436e-28;CHORDC1;2316;TRUE
OK;negbinomial.size; 2,957342e-12; 1,101753e-11;SLC36A4;1419;TRUE
OK;negbinomial.size; 3,343628e-05; 7,817608e-05;SMCO4;1743;TRUE
OK;negbinomial.size; 2,034050e-06; 5,226342e-06;CEP295; 800;TRUE
OK;negbinomial.size; 4,814626e-29; 3,819391e-28;TAF1D;4163;TRUE
OK;negbinomial.size; 3,343808e-03; 6,492494e-03;C11orf54; 997;TRUE
OK;negbinomial.size; 6,786855e-08; 1,943985e-07;MED17;1541;TRUE
OK;negbinomial.size; 1,109487e-11; 3,996645e-11;PANX1;1252;TRUE
OK;negbinomial.size; 7,530979e-06; 1,849851e-05;MRE11A;1127;TRUE
OK;negbinomial.size; 1,665783e-08; 4,953787e-08;ANKRD49;1001;TRUE
OK;negbinomial.size; 1,000000e+00; 1,000000e+00;PIWIL4;   5;FALSE
OK;negbinomial.size; 1,446411e-02; 2,627287e-02;FUT4; 365;TRUE
OK;negbinomial.size; 4,144147e-19; 2,194578e-18;AMOTL1;1930;TRUE
OK;negbinomial.size; 5,231953e-25; 3,590822e-24;CWC15;3778;TRUE
OK;negbinomial.size; 6,576829e-01; 9,088792e-01;KDM4D; 157;FALSE
OK;negbinomial.size; 1,033163e-32; 9,490729e-32;SRSF8;2172;TRUE
OK;negbinomial.size; 7,834559e-10; 2,549744e-09;ENDOD1;1111;TRUE
OK;negbinomial.size; 9,297708e-01; 1,000000e+00;SESN3;  45;FALSE
OK;negbinomial.size; 8,078490e-05; 1,825381e-04;FAM76B; 977;TRUE
