gene;cluster
CYSTM1;2
ID3;2
HK2;2
NRIP3;2
PSAP;2
GSTM3;2
LDHA;2
RRAS;2
SERINC2;2
CD44;2
TFF2;2
CCDC30;2
NARF;2
TRPT1;2
EEF1G;2
CMB9-22P13.1;2
CORO1B;2
FHL2;2
HEXB;2
RP11-367F23.2;2
NPC1;2
PNRC1;2
GABARAP;2
MAD1L1;2
IGFBP6;2
CLK3;2
NINJ1;2
HSPB1;2
GLRX;2
ZPR1;2
SP100;2
TMEM176B;2
DNER;2
PDIA3;2
SLC2A3;2
ATP13A3;2
TKT;2
GRN;2
APLP2;2
ATP6AP2;2
PFKP;2
CDKN1A;2
PDXK;2
CACNA1B;2
WBP2;2
PHLDA3;2
PITPNC1;2
ZNF581;2
CTSA;2
CATSPER1;2
TMEM134;2
HTRA1;2
MFSD10;2
EPB41L4A-AS1;2
GNAI3;2
CCNG1;2
MBOAT7;2
DPCD;2
CRYL1;2
NEK6;2
NPC2;2
LTA4H;2
EVA1B;2
SERPINB6;2
SELM;2
SERINC3;2
HEXA;2
ECI2;2
SOD2;2
EIF4A2;2
EIF3D;2
UBC;2
CD151;2
CTSD;2
RP11-49I11.1;2
TIMP1;2
FTL;2
LETMD1;2
DDOST;2
NUCB1;2
VAT1L;2
LTBP1;2
FKBP10;2
UQCRC2;2
DARS;2
NEAT1;2
PPP2R1A;2
ERP44;2
FEZ2;2
PI3;2
DHPS;2
LGALS3;2
FBXO17;2
MXRA7;2
PMP22;2
CCT8;2
SEC13;2
JARID2;2
GRINA;2
GAPLINC;2
CXCL8;2
BLVRB;2
TSG101;2
SMIM1;2
DNAJB9;2
CADM1;2
ERGIC3;2
ZFAS1;2
APP;2
C6orf48;2
CHMP4B;2
GRSF1;2
FOSL2;2
PRDX4;2
ZMAT3;2
SAT2;2
ZNF277;2
NUDT22;2
TRIP10;2
IL36B;2
FAM50A;2
ACOT13;2
RNASET2;2
FGF10-AS1;2
CD300A;2
TPM2;2
HSP90B1;2
HIST1H2AC;2
SDHA;2
PKM;2
HES4;2
HSPA8;2
NFKBIL1;2
ZNF560;2
FAM89B;2
TWF1;2
ACTA2;2
PTPRE;2
LGALS3BP;2
BZW1;2
RUNX1;2
RIOK3;2
CHPF;2
TTC9C;2
HLA-B;2
YBEY;2
EEF2;2
VEGFB;2
CTNNA2;2
TGFA;2
RRAGC;2
VDAC2;2
CPNE1;2
ETS1;2
IGBP1;2
ILK;2
RORA;2
MTCH2;2
CHID1;2
DNAJC4;2
ATXN10;2
CSNK1E;2
DALRD3;2
HLA-E;2
TRIOBP;2
CD63;2
TMEM132A;2
PGM1;2
GSTO1;2
PIGT;2
IDH3G;2
YIF1A;2
NUDT14;2
SND1;2
TMEM120A;2
THG1L;2
TPP1;2
NBEAL1;2
RB1;2
PLIN3;2
THUMPD3;2
OPTN;2
RNH1;2
NKAP;2
PMPCB;2
C15orf48;2
RGL2;2
WDR45;2
MFI2;2
DDIT3;2
CSNK2B;2
UQCRC1;2
ATP5B;2
ATP1A1;2
NDUFS2;2
GNAS;2
PPP1R15A;2
RPN2;2
ATP5EP2;2
TGIF1;2
RNF114;2
SCCPDH;2
DBP;2
METRNL;2
MT2A;2
IGHA1;2
ACBD3;2
RTN4RL2;2
CTNNA1;2
MRPL10;2
BASP1;2
COL6A1;2
NOB1;2
STAMBP;2
USE1;2
TRADD;2
BRI3;2
ORAI3;2
GHITM;2
PJA2;2
LRP10;2
BAG6;2
ANXA4;2
TM2D1;2
GID8;2
LAPTM4A;2
C14orf166;2
RARS;2
GALE;2
UBXN6;2
ANXA11;2
HIPK2;2
TSEN34;2
SRPK2;2
PINK1;2
RABAC1;2
GOSR2;2
FTH1;2
SYPL1;2
RELB;2
SHOC2;2
B3GAT3;2
TRAP1;2
HERPUD1;2
TMED3;2
CCNB1IP1;2
GRAMD1A;2
PLXNB2;2
FLYWCH2;2
DCTN2;2
IMPDH2;2
IL24;3
ANXA10;3
CD74;3
HLA-DRA;3
MT-ND4L;3
EEF1A2;3
HBEGF;3
FLT1;3
TMEM255B;3
CEMIP;3
HLA-DPA1;3
VCX;3
ATF3;3
LRRC38;3
FILIP1;3
VCX3B;3
TEX29;3
HLA-DRB1;3
NEFL;3
MDK;3
TSC22D1;3
DPYSL3;3
NR4A1;3
KRT81;3
LSP1;3
PDLIM1;3
PLAT;3
TRAC;3
MT1E;3
GJB2;3
C19orf33;3
NAMPT;3
TXNRD2;3
SGK1;3
ZFP36;3
JUND;3
TNFSF15;3
ABHD17C;3
CMSS1;3
ISG15;3
VGF;3
LINC00958;3
CD7;3
NNMT;3
SNHG25;3
SNHG19;3
PAGE1;3
GDF15;3
AC090498.1;3
MT-ATP8;3
HMGN3;3
CCL2;3
CHMP1B;3
TOMM5;3
SNHG9;3
RP11-669N7.2;3
PMAIP1;3
RHOB;3
SMIM4;3
ARHGDIB;3
NFKBIA;3
SEPW1;3
DMKN;3
VMP1;3
IRF1;3
PLEK2;3
VCX3A;3
S100A4;3
COL4A1;3
HSPA1A;3
RP11-386I14.4;3
CLU;3
SNRNP25;3
LINC01021;3
RP11-670E13.6;3
PAPPA;3
BST2;3
AMOTL2;3
DAAM1;3
CTD-3252C9.4;3
CSTF3;3
TPST1;3
TPO;3
SLC30A1;3
SMARCD1;3
PDPN;3
ARL14EPL;3
SVIL;3
PRPF4B;3
NR4A2;3
TIMM8B;3
MT-ND5;3
ATP5G1;3
PMEPA1;3
GRAMD1B;3
DAP;3
MAGEC2;3
MRPL23;3
C20orf27;3
NTM;3
HBE1;3
SFRP1;3
GALNT8;3
MYBL2;3
EIF3J;3
KIF9;3
ETS2;3
GPATCH4;3
CEBPD;3
AJAP1;3
NOG;3
POLR3K;3
ALDH2;3
SRSF2;3
RRP15;3
TSPAN9;3
IFI27;3
LRRC17;3
RNF220;3
CMTM8;3
SNHG15;3
SERPINB8;3
IRS2;3
ARID5B;3
CTSF;3
HLA-DMA;3
LBH;3
C19orf48;3
CTNNAL1;3
MTHFD2L;3
PLXNA1;3
SERPINF1;3
OCIAD2;3
PPIF;3
FAM210B;3
ZNF428;3
STC2;3
TUBB2A;3
SNHG10;3
AKR1B1;3
ARHGAP5;3
GPAT3;3
ANAPC15;3
C16orf45;3
C16orf74;3
PRNP;3
RP11-680F8.1;3
PNKD;3
PRR34-AS1;3
MIR4458HG;3
ZNF880;3
ODC1;3
BATF3;3
C17orf89;3
PKIG;3
SAC3D1;3
NFKBIZ;3
PXDN;3
HSPE1;3
GCSH;3
NOP56;3
PTX3;3
BAG1;3
AC004556.1;3
AC015922.6;3
LSM10;3
RP11-156K23.3;3
C11orf31;3
PEX16;3
SOCS2;3
ZNF622;3
RP11-307P5.1;3
SUN1;3
MYEOV;3
KRT18;3
PLPP4;3
HSPA1B;3
SRSF1;3
CMTM3;3
CREM;3
RAB30-AS1;3
STK17B;3
KLHL18;3
HIST2H2BE;3
RBCK1;3
COL4A2;3
OSCAR;3
ZDHHC6;3
ARHGAP5-AS1;3
BRD7;3
COTL1;3
MRPL4;3
GMFG;3
ZNHIT2;3
EPC1;3
EXOSC6;3
STAT1;3
SSBP4;3
VCL;3
STRA13;3
SMAD1;3
CTSZ;3
BIN1;3
ADGRE1;3
CXCL3;3
RP11-14N7.2;3
TIMM10;3
EGFL7;3
ADAR;3
AHCY;3
RP11-160O5.1;3
BCL2L11;3
TIMM13;3
BPGM;3
FOXP1;3
CDA;3
VAT1;3
METTL12;3
AKAP12;3
ZNF655;3
ITPA;3
ADA;3
TNFAIP3;3
MCAM;3
PRR7;3
IER3;3
THUMPD3-AS1;3
LYPD1;3
GLS;3
THYN1;3
MARCO;3
HSD17B10;3
BRMS1;3
TMEM136;3
EBNA1BP2;3
MRPL1;3
MAFG;3
CD82;3
BBC3;3
ZSCAN16-AS1;3
LIMA1;3
DUSP14;3
PCBD1;3
CCDC69;3
PSME2;3
DDA1;3
FST;3
KLF6;3
RUVBL1;3
BAG2;3
MRPL20;3
C9orf116;3
CAMK1;3
FDX1;3
MRPS25;3
PVRL4;3
GPS1;3
CALB2;3
HRAS;3
ISOC2;3
MAP2K3;3
GTF2H2;3
TIMP2;3
RSRC1;3
CNPY2;3
MRPL11;3
MRPL34;3
HSPH1;3
CDK2AP1;3
KCNMA1;3
CHCHD1;3
NOP16;3
ATP5J2;3
COG3;3
MSX1;3
ATP5I;3
RNASEH1-AS1;3
CHI3L1;3
NMT1;3
WDR70;3
MT-ND1;3
HLA-DPB1;3
PDP1;3
SNHG21;3
CISD3;3
BCL2L1;3
RAP2B;3
AP2B1;3
FOSB;3
SLC35D2;3
SMIM13;3
DUSP1;3
KRT7;3
LRFN4;3
ESRRA;3
ACAA2;3
RRS1;3
MAN1A1;3
TM7SF3;3
GPR87;3
UHRF1;3
CAMK1D;3
MRPS26;3
LINC00657;3
CREB5;3
ALG13;3
MLLT11;3
ASAH1;3
MAGEA3;3
DUSP10;3
PSME3;3
RP11-525A16.4;3
MT-CO3;3
DHX9;3
SH2D2A;3
TIMM8A;3
NEDD9;3
GALNT7;3
PBDC1;3
APOA1BP;3
YRDC;3
SDF2L1;3
EXOSC3;3
ATP13A2;3
ACAT1;3
COL17A1;3
ZFP36L2;3
MIR222HG;3
MT-ATP6;3
NDUFS6;3
MAX;3
DGKG;3
EML4;3
AURKAIP1;3
NPM3;3
PSMC2;3
PALLD;3
C19orf25;3
TMEM126B;3
CISD1;3
PLAU;3
TBX3;3
C5orf24;3
MINOS1;3
RP11-1094M14.11;3
PSMG1;3
RABIF;3
NDUFAF4;3
C16orf91;3
C5orf56;3
TMEM126A;3
GCLM;3
CDC123;3
USP12;3
BCLAF1;3
RP11-356J5.12;3
SRM;3
SHKBP1;3
NADSYN1;3
CTHRC1;3
DLG1;3
CLPTM1L;3
GNPDA1;3
UBXN1;3
ISCU;3
TOP1;3
PODXL2;3
PGM2L1;3
IFRD2;3
MAGEA6;3
RP11-554I8.2;3
RRP36;3
CNN2;3
GTF3C6;3
NDUFB2;3
eGFP;3
RPP40;3
TBRG1;3
SAMM50;3
TIMMDC1;3
C14orf142;3
MRPL55;3
PCSK7;3
C11orf74;3
MYEOV2;3
RCC2;3
CUL4A;3
UROD;3
ATP5G3;3
AEN;3
ZFAND5;3
BANF1;3
COX14;3
NFE2L3;3
TNC;3
MINCR;3
SPRY2;3
SPTAN1;3
AP1S1;3
PAK1IP1;3
MIR99AHG;3
DCUN1D5;3
PRELID3B;3
EIF2S1;3
DPP7;3
MT-CYB;3
PAEP;3
SMIM12;3
ZFP91;3
ETV5;3
PHLDB2;3
FADS3;3
MAD2L2;3
HMGB2;4
CENPF;4
TOP2A;4
