gene;cluster
SNRPD1;2
PMAIP1;2
UBE2C;2
TIMM13;2
HNRNPM;2
DNMT1;2
CTD-3252C9.4;2
SEPW1;2
C19orf48;2
TXNRD2;2
RANBP1;2
UQCR10;2
MT-ATP8;2
MT-ND4L;2
MT-ND5;2
MT-ND6;2
LINC01116;2
AC090498.1;2
FEN1;2
MRPL34;2
UBE2T;2
TK1;2
PARP1;2
LSM5;2
COL4A2;2
MKI67;2
UQCRQ;2
CCND1;2
TMEM106C;2
PLXNA1;2
CSTF3;2
MRPL57;2
GMNN;2
GPATCH4;2
HMGN1;2
DTYMK;2
PCNA;2
CKS2;2
FUS;2
AKAP12;2
CISD1;2
STRA13;2
RBM39;2
PA2G4;2
CDKN3;2
C20orf27;2
TPX2;2
HN1;2
TCF19;2
DCTPP1;2
RNF145;2
RP11-160O5.1;2
CDK1;2
MRPL23;2
PRC1;2
USP1;2
SRSF10;2
POLR2K;2
MAD2L1;2
RBM3;2
H3F3A;2
PSIP1;2
NDUFB10;2
SFPQ;2
NDUFB3;2
HMOX1;2
RRP15;2
PRPF4B;2
TFAM;2
NDUFA3;2
MYEOV;2
POLE3;2
SMARCD1;2
CREM;2
SNRPB;2
RPL37;2
TOMM22;2
PSMB8;2
SNRPE;2
C12orf57;2
MKKS;2
CCDC34;2
CENPU;2
ASPM;2
CHCHD1;2
RPA3;2
NASP;2
PFN1;2
DDX46;2
MRPS26;2
TOP1;2
POLR3K;2
SUMO1;2
MRPS34;2
MRPL51;2
LSM10;2
TRA2B;2
PLPP4;2
AURKB;2
MYBL2;2
CEP55;2
WDR34;2
TMCO1;2
CYB5B;2
MRPL33;2
FOXM1;2
LSM4;2
GTSE1;2
ITPA;2
MIR4435-2HG;2
PDAP1;2
TIMMDC1;2
COMMD4;2
NAA50;2
ITGAE;2
MYLK;2
SOCS2;2
C12orf75;2
TIMP2;2
AC004556.1;2
PRR34-AS1;2
SRSF1;2
RBM8A;2
NDUFB6;2
GINS2;2
NEDD9;2
HNRNPH1;2
DNAJC9;2
EIF1AX;2
TMEM230;2
MCM3;2
C4orf48;2
THOC7;2
COX17;2
CCDC69;2
RP11-680F8.1;2
HNRNPR;2
DLEU2;2
C9orf142;2
NME1;2
DHFR;2
POP7;2
PNKD;2
AC015922.6;2
RP11-156K23.3;2
CISD3;2
UQCC2;2
BCL7C;2
MTHFD2L;2
RFC3;2
ANP32E;2
CKAP2;2
E2F1;2
CENPN;2
VCL;2
CDCA7;2
HIST2H2AC;2
BCL2L11;2
GTF2F2;2
U2SURP;2
MRPL13;2
SNHG10;2
ATAD5;2
DBI;2
ATPIF1;2
LSM7;2
RSRC1;2
NUDT15;2
PSMB2;2
PAWR;2
RFC1;2
ZFP36L2;2
EIF5B;2
NUTF2;2
RAD51C;2
SRI;2
PRELID1;2
COX7B;2
KLHL18;2
AP2B1;2
PHF5A;2
STK17B;2
MLLT11;2
NDUFA1;2
CENPM;2
CDCA5;2
PET100;2
SSBP4;2
DNAJC8;2
POLE4;2
CDV3;2
ESCO2;2
CMTM3;2
THUMPD3-AS1;2
CENPA;2
DNAJC19;2
MCM4;2
SPC24;2
RNASEH2C;2
PCM1;2
BAG2;2
PHF14;2
RPS19BP1;2
CASP8;2
MDFIC;2
MRPL1;2
NF2;2
MELK;2
ASF1B;2
CKAP2L;2
MCM10;2
CDH2;2
PSMG3;2
HDGF;2
MBD2;2
MRPL14;2
POLR2I;2
ATAD2;2
SHFM1;2
ELOF1;2
SUPT16H;2
METRN;2
CCNA2;2
GTF2H2;2
NUF2;2
YWHAZ;2
CYCS;2
DNAJC15;2
G3BP1;2
UHRF1;2
PNN;2
CHCHD2;2
PYURF;2
CHAF1A;2
YBX1;2
SUMO3;2
TROAP;2
BRD7;2
SPC25;2
PSMC3IP;2
CMC2;2
SDF2L1;2
SET;2
PRR7;2
MRPL18;2
ZDHHC6;2
LSM3;2
MIR4458HG;2
C7orf49;2
GLO1;2
PGM2L1;2
RNASEH2A;2
BCLAF1;2
RRM1;2
GBP1;2
ANLN;2
TIMM8A;2
RRS1;2
TACC3;2
ARL4C;2
TMEM261;2
SUN1;2
CNN2;2
APOLD1;2
BABAM1;2
GAR1;2
FAM111A;2
KIF20B;2
CIRBP;2
SNRPC;2
SUB1;2
HNRNPA0;2
DHX9;2
ERRFI1;3
ADGRL4;3
RHOC;3
TXNIP;3
FDPS;3
TAGLN2;3
SLAMF9;3
QSOX1;3
LAMB3;3
RP11-400N13.3;3
IL1B;3
INSIG2;3
COL6A3;3
NGLY1;3
CMTM7;3
GBE1;3
FAM162A;3
PLOD2;3
IGFBP7;3
UBA6;3
MSMO1;3
RP11-798M19.6;3
ANKRD37;3
LOX;3
P4HA2;3
SPARC;3
HLA-A;3
TREM1;3
VEGFA;3
TPBG;3
FAM20C;3
KDELR2;3
SEC61G;3
AC003092.1;3
FAM3C;3
HILPDA;3
PRSS2;3
GS1-600G8.5;3
SMS;3
TIMP1;3
SLC6A8;3
LOXL2;3
BNIP3L;3
SDC2;3
HAS2;3
NDRG1;3
PRSS3;3
