gene;cluster
TXNIP;1
CRABP2;1
SLAMF9;1
PLOD2;1
LOX;1
SERPINE1;1
HILPDA;1
NDRG1;1
CA9;1
C10orf10;1
ENO2;1
LINC00520;1
ALDOC;1
SEMA4B;1
BNIP3;1
P4HA1;1
PGK1;1
ERO1A;1
ZP1;1
SLC2A1;1
BNIP3L;1
RASSF4;1
GBE1;1
P4HA2;1
MXI1;1
INSIG2;1
CD68;1
OSMR;1
SERPINE2;1
RP11-400N13.3;1
BACE2;1
GS1-600G8.5;1
ANG;1
FAM162A;1
SCD;1
LOXL2;1
ITPR1;1
KDELR3;1
VEGFA;1
NGLY1;1
ITGA5;1
TREM1;1
LAT;1
CIB1;1
AC003092.1;1
RP11-798M19.6;1
KRT15;1
ALDOA;1
SLC16A3;1
IL1B;1
PPP1R13L;1
POC1B;1
ARG2;1
ANKRD37;1
GPI;1
P4HB;1
TPBG;1
TNNT1;1
RRAS;1
HAS2;1
SBSN;1
PFKL;1
RP11-575F12.3;1
DNASE1L1;1
LDHA;1
NARF;1
WSB1;1
LPO;1
CD44;1
MIR210HG;1
TRPT1;1
SLC6A8;1
FAM20C;1
ID1;1
EEF1G;1
CCDC107;1
PLD3;1
PGF;1
MAGED2;1
HEXB;1
UBA6;1
POLD4;1
GABARAP;1
PNRC1;1
IGFBP6;1
RELA;1
MAP2K1;1
HK1;1
BHLHE40;1
DLGAP4;1
LMAN1;1
CLK3;1
SP100;1
SDC2;1
RGS17;1
QSOX1;1
EGLN3;1
CCDC109B;1
TKT;1
DHCR7;1
GNG11;1
PDIA3;1
LAMB3;1
HSD11B1;1
FAM114A1;1
MSMO1;1
PFKP;1
FOSL1;1
TMBIM1;1
CPNE3;1
ATP6AP2;1
ZCCHC7;1
LTBP3;1
ELL2;1
DHRS7;1
CATSPER1;1
PYGL;1
SEZ6L2;1
COL6A3;1
WBP2;1
RPL17;1
CTSB;1
PDXK;1
LRP1;1
CSNK1D;1
FNTA;1
CTSA;1
IDH2;1
WIPI1;1
ERGIC1;1
MPI;1
SMAP1;1
CCNG1;1
IL1RAP;1
FUT11;1
BTG1;1
NOL3;1
WDR54;1
SRD5A3;1
SMTN;1
INSIG1;1
PHF1;1
KCMF1;1
CA12;1
SHB;1
KDELR2;1
NEK6;1
SAP30;1
MBOAT7;1
HES1;1
JMJD6;1
NPC2;1
C4orf47;1
CRYL1;1
CLMP;1
VKORC1;1
HTRA1;1
FAM3C;1
STC1;1
MFSD10;1
SCG5;1
MVD;1
SERPINB6;1
HEXA;1
CFAP36;1
SEC24A;1
ASPH;1
PDK1;1
WFDC3;1
TIMP1;1
CD151;1
DPCD;1
EIF4A2;1
HMGCL;1
ZBTB25;1
UBC;1
GAPDH;1
GDI1;1
MPZL1;1
PTEN;1
RP11-395G23.3;1
NUCB1;1
UQCRC2;1
DARS;1
SLC14A1;1
FKBP10;1
LINC00261;1
KLC1;1
IGFBP7;1
CCDC53;1
PLAUR;1
USP3;1
TFB1M;1
DDX50;1
ECM1;1
WDR45B;1
F3;1
LETMD1;1
PCAT6;1
TMEM45A;1
ATP2B1;1
TSC22D3;1
DHPS;1
F11R;1
CSRP2;1
KCNN4;1
TPD52;1
PFKFB4;1
SEC13;1
AMPD2;1
MVK;1
CD55;1
DRAM2;1
ZNF385A;1
PGAM1;1
UBE2V2;1
SLC6A6;1
NMU;1
CECR5;1
NPEPPS;1
TBC1D9B;1
APP;1
GRINA;1
ERRFI1;1
SLC35B2;1
YIPF2;1
PRDX4;1
JUNB;1
ACSL3;1
LGALS3;1
AHNAK2;1
TPM2;1
PLOD1;1
CLEC2B;1
STXBP1;1
SEC31A;1
VEGFC;1
CDKN2D;1
TMEM263;1
HSP90B1;1
NIT1;1
AMPD3;1
SLC39A11;1
NAV1;1
DNAJB9;1
MXRA7;1
ENO1;1
RP11-841O20.2;1
RDH11;1
EGLN1;1
AK4;1
SDCBP;1
KDELR1;1
DNAJB2;1
SPINK1;1
