UBC;TALDO1;SORBS1;SNCG;REEP6;PLIN2;MGLL;LAMA4;ITGA7;GBE1;GADD45A;FABP4;DHCR7;COL4A1;COL15A1;CMBL;CDKN2C;C3;APOE;APLP2;ALDOA;ALDH2;ACAA2;ABCA1
 6,557152e-01;-5,194871e-01;-0,2135423;-0,699967117;-0,31123506;-0,3268872;-0,7920780527;-0,7912751044; 1,253384e-01; 2,462565e-01; 0,4701890936;-0,06288331;-0,2289027178;-0,0678870130;-0,25221251; 1,415495e+00;-9,076390e-01; 0,2757016893;-0,2241504;-7,895732e-01; 0,1556309356;-0,688409072;-1,113106e+00;-0,31991526
 5,516167e-01; 5,711148e-01;-0,2196221; 2,173730753;-0,41013404;-0,2718416; 2,0573857602;-0,1537765364; 1,367057e-02; 3,060952e-01;-0,0141078201;-0,08462801; 0,6285110061; 0,3970606342;-0,20093805; 3,957137e-01;-7,999623e-01; 0,0411217113;-0,2526777;-1,052902e+00; 0,2236242388;-0,644232868; 2,508827e-01;-0,37632648
-2,446987e-01;-1,660125e+00;-0,2208492;-0,648196873;-0,43009493;-0,2607316;-0,6505409793;-0,7446364674;-8,867454e-03;-4,668629e-01;-1,5520013304;-0,08901676;-0,5969664601;-1,0664379278;-0,19058927;-1,268539e+00;-7,782298e-01;-0,0062238110;-0,2584353; 5,677489e-01;-0,5656414244;-0,635316739;-1,037956e+00;-0,38771202
 9,130570e-01; 9,359308e-01;-0,2089816;-0,732280511;-0,23704638;-0,3681795;-0,8804211429;-0,8203855079; 2,091055e-01; 2,178304e+00;-0,8551998053;-0,04657161; 0,0008313556;-1,5839417752;-0,29067585;-9,411241e-01;-9,884123e-01; 0,4516709201;-0,2027507; 1,493303e+00; 2,2573935764;-0,721547674; 4,716736e-01;-0,27759860
-2,114548e-01; 1,064962e+00;-0,2205841;-0,650074930;-0,42578308; 2,5000000;-0,6556754845; 0,0432337841;-3,998903e-03;-4,409932e-01; 0,5177284761;-0,08806872;-0,5836143032;-0,2791932876;-0,19282476; 1,082901e+00;-7,829244e-01; 0,0040035303;-0,2571916; 1,661561e+00; 0,2547745235;-0,637242756; 6,325335e-01; 1,61526820
 1,272355e+00; 4,887858e-02;-0,2255261;-0,179942071; 0,99251337; 0,9156358; 1,2491571174;-0,4842903133;-9,476977e-02;-9,233156e-01; 1,2224747224;-0,10574423; 0,0472916407;-0,0309607118;-0,15114553; 1,299018e+00;-6,953977e-01;-0,1866783819;-0,2803804;-2,437294e-01;-0,1702642447; 1,382148148; 1,990582e-01; 2,50000000
-6,780567e-01;-1,632811e+00;-0,2249903;-0,618856506;-0,49745780;-0,2232385;-0,5703259852;-0,7182043963;-8,492752e-02; 5,462697e-01; 0,2958078782;-0,10382768; 0,5850243480; 0,4283647859;-0,15566479;-1,382788e+00;-7,048882e-01;-0,1660028133;-0,2778661; 1,318768e+00;-1,3784942145;-0,605227088; 5,598854e-01;-0,42613529
-1,708728e+00;-3,550740e-01;-0,2214489; 0,879049831;-0,43985137;-0,2553013;-0,6389231032;-0,7408081990;-1,988355e-02; 3,548266e-01;-0,0547972433;-0,09116189;-0,6271784664; 0,9083127220;-0,18553101; 4,064775e-01;-7,676075e-01;-0,0293652781;-0,2612496; 1,830447e-01;-1,2921650547;-0,630958728; 6,741534e-01;-0,39327702
 1,985517e-01;-1,635834e+00;-0,2245319;-0,622104095;-0,49000162;-0,2273885;-0,5792047197;-0,7211300755;-7,650868e-02; 3,968869e-01;-0,7890721797;-0,10218831;-0,7824746812; 0,2283757213;-0,15953047;-3,855312e-01;-7,130062e-01;-0,1483173998; 2,4399815;-2,308562e-01;-0,8711624925;-0,608557613;-1,000080e+00;-0,42188234
 1,173751e+00;-7,510152e-01;-0,2156032;-0,685365767;-0,34475846;-0,3082286; 2,4830178099; 0,2553761226; 8,748678e-02; 4,512734e-02; 2,5000000000;-0,07025402;-0,3327119199;-1,2951987858;-0,23483221; 4,358171e-01;-8,711403e-01; 0,1961870350;-0,2338202; 7,501677e-02;-0,4423021960;-0,673434837;-1,091910e+00;-0,33903675
-2,574710e-01; 6,119028e-01;-0,2262924;-0,609630462;-0,51863997; 2,5000000; 2,1820139784; 0,1425679152;-1,088445e-01;-9,981035e-01; 1,0236438809;-0,10848496;-0,8711567416; 0,0333623352;-0,14468283; 1,059337e+00; 2,472840e-01;-0,2162451291;-0,2839760; 3,976965e-02;-2,0886198385; 0,869674816; 1,430828e+00;-0,43821744
-1,542571e-01;-3,618784e-01;-0,2256983;-0,613839782; 1,32688229;-0,2168278; 0,8694346239;-0,7136849435;-9,793255e-02;-9,401214e-01; 0,7399321096;-0,10636011;-0,0032807484; 0,5479839077;-0,14969328; 6,119412e-01;-6,923480e-01;-0,1933224150;-0,2811884;-3,621297e-02;-1,3190448663;-0,600082248; 6,721861e-01;-0,43270504
 5,120206e-01; 6,353412e-01;-0,2165650; 1,014036902;-0,36040467;-0,2995202; 2,1192336368;-0,7719817667; 6,982049e-02;-4,874468e-02; 0,0013601600;-0,07369412; 0,5786501166;-0,3461520042;-0,22672039; 1,419109e+00;-8,541054e-01; 0,1590755563; 1,9335690; 1,017814e+00; 0,5508678120; 2,025466364;-1,082018e+00; 1,92378753
 4,300181e-01; 1,005474e+00;-0,2162630;-0,680690990; 1,46610662;-0,3022549;-0,7393781543;-0,7739096794; 7,536819e-02;-1,926629e-02; 0,4341732207;-0,07261384; 0,4654932427; 1,7204627540;-0,22926772; 1,174145e+00;-8,594548e-01; 0,1707295794;-0,2369160; 8,152346e-01;-0,4174075906;-0,668640678; 1,644234e+00; 1,62275145
 9,731570e-01; 6,402921e-01;-0,2253872;-0,616043782;-0,50391556;-0,2196442;-0,5626361498;-0,7156704776;-9,221904e-02;-9,097619e-01;-0,9895393332;-0,10524754;-0,3739067330; 0,2504968421;-0,15231675; 1,469078e+00;-2,380076e-01;-0,1813200770;-0,2797288;-1,806207e-02;-0,9997037532; 2,500000000; 3,329933e-01; 0,63918670
 3,681535e-01; 1,353297e+00;-0,2214219;-0,644138645;-0,43941226;-0,2555457; 2,5000000000;-0,7409805018;-1,938774e-02;-5,227637e-01;-0,3906365618;-0,09106534;-0,6258186838; 0,0328129127;-0,18575867;-3,517712e-01;-7,680855e-01;-0,0283237265;-0,2611229;-1,508449e-01;-0,0768727227; 0,372066824;-3,333696e-01;-0,39302655
 5,965530e-01; 1,192352e+00; 2,1294694; 0,123800544; 0,68073401; 1,8082375; 0,0186318939;-0,7832631504; 1,022834e-01; 1,237512e-01;-0,7376582408;-0,06737272; 0,5673983251;-0,5179998062;-0,24162639; 5,833335e-01;-1,028136e-02; 0,2272702965;-0,2300401;-4,455455e-01; 1,6278219042; 1,759711040; 2,510836e-01;-0,33156192
 7,498066e-01; 1,108701e+00;-0,2217329; 1,829441724; 1,76031478;-0,2527302; 1,7515840316;-0,2276244140;-2,509944e-02; 4,725492e-01; 0,1330563454;-0,09217756;-0,0940652176;-0,5105441195;-0,18313604; 1,518086e+00;-7,625780e-01;-0,0403222537;-0,2625821;-2,767006e-01; 0,0309429714;-0,628895305;-1,028867e+00; 0,89975387
 8,255928e-01;-5,909291e-01;-0,2246804;-0,621051721; 0,99124602;-0,2260437;-0,5763275873;-0,7201820163;-7,923679e-02;-8,407791e-01;-0,0622674126;-0,10271955; 0,4338768165; 0,6904599983; 2,50000000; 2,500000e+00;-2,089151e-02;-0,1540483152; 2,4929274; 1,542780e+00;-1,1414710086; 0,480011463; 2,500000e+00; 1,17957236
-1,204277e+00;-4,438792e-01;-0,2274164; 0,122825267; 0,36317375;-0,2012720;-0,5233296362;-0,7027183783;-1,294896e-01;-1,107804e+00; 0,3144607441;-0,11250511;-0,5169403555;-0,3917860844;-0,13520325;-8,181786e-01;-2,436278e-01;-0,2596141116; 0,6404065;-1,036288e+00;-1,8706124214;-0,587598167;-9,704135e-01;-0,44864671
 4,631152e-01;-5,795201e-01;-0,2196349; 0,593583529;-0,41034244;-0,2717256;-0,6740620258;-0,7523870131; 1,343526e-02;-3,483546e-01;-0,2929795315;-0,08467383; 0,1732520417;-0,4492734405;-0,20083000; 1,082030e+00;-7,997354e-01; 0,0406273965;-0,2527378; 1,109611e+00;-0,1259138421; 0,494507883; 1,755535e+00;-0,37644536
-2,311112e-01;-7,551700e-01;-0,2156849;-0,684786503;-0,34608840;-0,3074884;-0,7505750665;-0,7775992338; 8,598513e-02; 3,714816e-02; 1,4499888646;-0,07054643;-0,3368302313;-1,2916336306;-0,23414270;-1,126062e+00; 2,511293e-01; 0,1930325352;-0,2342038; 1,720895e+00; 0,5702454670;-0,672840781; 1,401309e-01;-0,33979534
 1,111713e+00; 1,479544e+00;-0,2228811; 2,500000000;-0,46314865;-0,2423344; 1,6824366006; 0,1700701230;-4,618873e-02; 7,084408e-01; 0,2228666278;-0,09628421;-0,6993212549;-0,9778310466;-0,17345247; 2,500000e+00; 2,405743e-01;-0,0846244341;-0,2679696; 9,676502e-01;-0,5522437592; 0,219927686; 1,204310e+00; 1,87817324
-8,165789e-02; 5,993439e-01;-0,2252125;-0,617282091;-0,50107251;-0,2212266; 0,5189043920;-0,7167860417;-8,900893e-02;-2,429578e-01; 1,6715990337;-0,10462244;-0,1792503495;-0,2736709580;-0,15379073; 7,565847e-01;-7,009527e-01;-0,1745766130; 1,1636671; 1,407698e+00;-0,8683980305; 1,962422490;-2,800851e-01;-0,42819709
 4,417810e-01; 1,924227e+00;-0,2251348;-0,617832012;-0,49980994;-0,2219293; 0,8866399454;-0,7172814534;-8,758335e-02;-1,425084e-02; 0,1037099620;-0,10434485; 1,4640870050; 0,8118758624;-0,15444532; 6,580949e-01;-7,023273e-01;-0,1715819027;-0,2785445; 1,085485e-02;-0,8222464116; 0,133212205;-9,938791e-01;-0,42747693
 7,234700e-01;-6,521615e-01;-0,2217703; 1,429599631;-0,44507956; 2,5000000;-0,6326974329;-0,1339508446;-2,578675e-02; 1,031041e-01; 1,6477119365;-0,09231140;-0,6433681718;-0,4143840185;-0,18282044; 1,667268e+00;-7,619152e-01;-0,0417660943; 1,2022934;-5,877523e-01;-1,0184029088;-0,628623401;-1,028482e+00; 1,13614305
-4,403506e-01; 6,782274e-01;-0,2247220;-0,620757030;-0,49309436;-0,2256671;-0,0157740566;-0,7199165355;-8,000073e-02;-5,096133e-01; 0,7063733067;-0,10286831;-0,7920517210; 1,1014141775;-0,15792703;-8,636758e-01;-7,460367e-02;-0,1556531176;-0,2766074;-1,013418e-01; 0,0279994438;-0,607176147;-1,804099e-03;-0,42364642
-6,337234e-01; 1,149911e+00;-0,2286585; 0,370103738;-0,55712903;-0,1900264; 2,4700395259; 0,2431397143;-1,523029e-01;-1,229025e+00; 1,1296237231;-0,11694747; 0,4080984622;-0,2098165579;-0,12472807;-6,602509e-01;-6,399209e-01;-0,3075379031;-0,2950782; 5,998562e-02;-1,5636355819;-0,578573138; 6,063957e-01;-0,46017130
 9,029031e-02;-1,034905e+00;-0,2227935; 0,631625798;-0,46172402;-0,2431274;-0,6128773880;-0,7322257363;-4,458017e-02; 7,509186e-02;-0,7599104413;-0,09597098;-0,6949097201; 1,9809885018;-0,17419107; 4,626775e-01;-7,437935e-01;-0,0812453342;-0,2675587; 1,266470e+00;-0,9903364957; 0,531722036; 1,814343e+00; 2,50000000
-9,374954e-02; 5,783790e-01; 2,5000000; 0,685303286;-0,47929513;-0,2333475;-0,5919538936;-0,7253311239;-6,441988e-02;-7,620476e-01;-1,0685518117;-0,09983430;-0,7493207622;-0,9345472862;-0,16508128; 1,046066e+00;-7,246629e-01;-0,1229225181; 2,5000000; 3,331849e-01;-0,8121769642; 0,581482175; 1,902027e+00;-0,41577544
