status;family;pval;qval;gene_short_name;num_cells_expressed;use_for_ordering
OK;negbinomial.size; 1,974121e-26; 6,015092e-26;LRRC47;2407;TRUE
OK;negbinomial.size; 1,693591e-04; 2,411096e-04;CEP104;1355;TRUE
OK;negbinomial.size; 2,829705e-05; 4,230314e-05;DFFB; 231;TRUE
OK;negbinomial.size; 9,620179e-14; 2,063452e-13;C1orf174;2049;TRUE
OK;negbinomial.size;5,181584e-301;1,821971e-299;AJAP1;1552;TRUE
OK;negbinomial.size; 5,088081e-02; 5,922689e-02;NPHP4; 258;TRUE
OK;negbinomial.size; 2,776928e-64; 1,597178e-63;KCNAB2;1014;TRUE
OK;negbinomial.size; 3,556047e-11; 6,951916e-11;RPL22;4192;TRUE
OK;negbinomial.size; 7,600888e-02; 8,686177e-02;RP1-120G22.11;  11;FALSE
OK;negbinomial.size;1,395610e-101;1,252563e-100;ICMT;1837;TRUE
OK;negbinomial.size; 4,846529e-02; 5,655438e-02;LINC00337; 113;FALSE
OK;negbinomial.size; 2,726715e-12; 5,547285e-12;GPR153; 255;TRUE
OK;negbinomial.size;4,086271e-137;5,236955e-136;ACOT7;3468;TRUE
OK;negbinomial.size; 2,956505e-01; 3,139812e-01;RP1-202O8.3; 173;FALSE
OK;negbinomial.size; 1,680478e-31; 5,716553e-31;HES2; 213;TRUE
OK;negbinomial.size; 1,059514e-13; 2,268782e-13;TNFRSF25; 619;TRUE
OK;negbinomial.size; 8,030261e-06; 1,234283e-05;PLEKHG5;1019;TRUE
OK;negbinomial.size; 2,497840e-29; 8,105686e-29;NOL9;1124;TRUE
OK;negbinomial.size; 7,703658e-04; 1,048790e-03;ZBTB48; 559;TRUE
OK;negbinomial.size; 1,102350e-52; 5,385270e-52;KLHL21; 998;TRUE
OK;negbinomial.size; 1,369776e-03; 1,834126e-03;PHF13; 787;TRUE
OK;negbinomial.size; 1,257753e-25; 3,752168e-25;THAP3;1469;TRUE
OK;negbinomial.size; 3,866867e-06; 6,039101e-06;DNAJC11; 698;TRUE
OK;negbinomial.size; 7,654751e-08; 1,304691e-07;RP11-312B8.1;  62;FALSE
OK;negbinomial.size; 4,516223e-10; 8,440554e-10;CAMTA1;3989;TRUE
OK;negbinomial.size; 6,227599e-20; 1,609804e-19;VAMP3;3014;TRUE
OK;negbinomial.size; 6,687122e-02; 7,688393e-02;PER3; 606;TRUE
OK;negbinomial.size;4,127398e-145;5,661152e-144;TNFRSF9; 806;TRUE
OK;negbinomial.size; 3,499927e-69; 2,159571e-68;PARK7;4169;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ERRFI1;3876;TRUE
OK;negbinomial.size; 1,808899e-61; 1,003777e-60;RP11-431K24.1; 863;TRUE
OK;negbinomial.size; 2,420150e-04; 3,413017e-04;SLC45A1;  44;FALSE
OK;negbinomial.size; 2,199498e-08; 3,841052e-08;RERE;2145;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;ENO1;4190;TRUE
OK;negbinomial.size; 3,154663e-14; 6,869832e-14;ENO1-AS1; 175;FALSE
OK;negbinomial.size; 5,432255e-06; 8,419456e-06;GPR157; 337;TRUE
OK;negbinomial.size; 2,424647e-32; 8,405569e-32;MIR34AHG; 302;TRUE
OK;negbinomial.size; 1,061324e-46; 4,739034e-46;H6PD;1563;TRUE
OK;negbinomial.size; 2,268989e-15; 5,124978e-15;SPSB1;1695;TRUE
OK;negbinomial.size; 5,002763e-98; 4,342495e-97;SLC25A33;1645;TRUE
OK;negbinomial.size; 7,262086e-18; 1,770731e-17;TMEM201; 460;TRUE
OK;negbinomial.size; 4,789064e-57; 2,490590e-56;PIK3CD;1031;TRUE
OK;negbinomial.size; 3,100809e-21; 8,314481e-21;PIK3CD-AS2; 270;TRUE
OK;negbinomial.size; 4,608719e-28; 1,456631e-27;CLSTN1;2645;TRUE
OK;negbinomial.size;5,181057e-306;1,895992e-304;CTNNBIP1;2889;TRUE
OK;negbinomial.size; 2,142246e-19; 5,456744e-19;LZIC;2562;TRUE
OK;negbinomial.size; 1,829427e-04; 2,599743e-04;NMNAT1; 423;TRUE
OK;negbinomial.size; 1,668750e-02; 2,043628e-02;UBE4B;1115;TRUE
OK;negbinomial.size; 3,837231e-19; 9,693148e-19;KIF1B;1089;TRUE
OK;negbinomial.size; 5,596758e-37; 2,127858e-36;PGD;2844;TRUE
OK;negbinomial.size; 6,589668e-04; 9,012953e-04;APITD1-CORT;  74;FALSE
OK;negbinomial.size;4,640195e-128;5,456481e-127;APITD1;1793;TRUE
OK;negbinomial.size; 1,111589e-71; 7,065097e-71;DFFA;2764;TRUE
OK;negbinomial.size; 8,297965e-10; 1,535034e-09;PEX14;1300;TRUE
OK;negbinomial.size; 1,086030e-49; 5,058005e-49;TARDBP;2181;TRUE
OK;negbinomial.size;3,260504e-259;9,635646e-258;SRM;3932;TRUE
OK;negbinomial.size; 3,579218e-13; 7,508626e-13;EXOSC10;1419;TRUE
OK;negbinomial.size; 1,088178e-05; 1,660641e-05;RP4-635E18.6; 123;FALSE
OK;negbinomial.size; 1,263711e-06; 2,022477e-06;MTOR; 631;TRUE
OK;negbinomial.size; 4,809089e-19; 1,211408e-18;UBIAD1;1384;TRUE
OK;negbinomial.size; 5,391172e-18; 1,319376e-17;RP1-69M21.2;  26;FALSE
OK;negbinomial.size; 4,283815e-57; 2,229122e-56;FBXO6; 394;TRUE
OK;negbinomial.size; 4,788383e-91; 3,880815e-90;MAD2L2;2993;TRUE
OK;negbinomial.size; 3,574462e-29; 1,155974e-28;AGTRAP;2235;TRUE
OK;negbinomial.size; 2,471226e-07; 4,107585e-07;MTHFR; 408;TRUE
OK;negbinomial.size; 2,796153e-05; 4,180850e-05;CLCN6; 541;TRUE
OK;negbinomial.size; 5,661488e-05; 8,306167e-05;NPPA-AS1;  47;FALSE
OK;negbinomial.size; 5,989046e-57; 3,108353e-56;KIAA2013;2422;TRUE
OK;negbinomial.size;1,673082e-146;2,319594e-145;PLOD1;3043;TRUE
OK;negbinomial.size; 5,192927e-17; 1,234213e-16;MFN2;1032;TRUE
OK;negbinomial.size; 3,695697e-18; 9,093985e-18;MIIP;1595;TRUE
OK;negbinomial.size; 3,892841e-15; 8,724780e-15;TNFRSF1B;  94;FALSE
OK;negbinomial.size; 6,936056e-03; 8,801967e-03;VPS13D; 477;TRUE
OK;negbinomial.size; 6,501933e-08; 1,110626e-07;DHRS3;  36;FALSE
OK;negbinomial.size; 3,707629e-10; 6,952482e-10;RP11-474O21.5;  58;FALSE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;LRRC38; 848;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;PDPN;1510;TRUE
OK;negbinomial.size; 2,942714e-09; 5,328498e-09;PRDM2; 997;TRUE
OK;negbinomial.size; 3,448870e-16; 8,003268e-16;KAZN; 304;TRUE
OK;negbinomial.size; 4,757348e-04; 6,577916e-04;TMEM51-AS1;  28;FALSE
OK;negbinomial.size; 1,244544e-08; 2,196225e-08;TMEM51;1978;TRUE
OK;negbinomial.size; 1,390229e-11; 2,759267e-11;FHAD1; 130;FALSE
OK;negbinomial.size; 2,706032e-02; 3,245360e-02;RP3-467K16.4;  16;FALSE
OK;negbinomial.size; 7,084483e-19; 1,776113e-18;EFHD2;3589;TRUE
OK;negbinomial.size; 3,936527e-06; 6,145223e-06;CASP9; 547;TRUE
OK;negbinomial.size; 2,886851e-07; 4,786908e-07;DNAJC16; 630;TRUE
OK;negbinomial.size; 1,706620e-02; 2,087160e-02;AGMAT;  34;FALSE
OK;negbinomial.size; 7,708463e-07; 1,247574e-06;DDI2; 572;TRUE
OK;negbinomial.size; 2,159228e-22; 5,952287e-22;PLEKHM2;1721;TRUE
OK;negbinomial.size; 2,029787e-01; 2,201172e-01;SLC25A34;  26;FALSE
OK;negbinomial.size; 5,906290e-43; 2,479538e-42;RP11-169K16.4; 230;TRUE
OK;negbinomial.size; 7,267680e-08; 1,239424e-07;FBLIM1;2630;TRUE
OK;negbinomial.size; 1,452594e-17; 3,512342e-17;UQCRHL; 728;TRUE
OK;negbinomial.size; 1,859204e-02; 2,264672e-02;FLJ37453; 470;TRUE
OK;negbinomial.size; 1,458585e-08; 2,567635e-08;SPEN;1403;TRUE
OK;negbinomial.size; 9,539647e-06; 1,460495e-05;ZBTB17;1256;TRUE
OK;negbinomial.size;2,172330e-154;3,204633e-153;FAM131C; 698;TRUE
OK;negbinomial.size; 4,624223e-39; 1,826111e-38;EPHA2;1935;TRUE
OK;negbinomial.size; 2,347369e-01; 2,525601e-01;RP11-276H7.2;  41;FALSE
OK;negbinomial.size; 2,775989e-01; 2,959531e-01;RSG1; 204;FALSE
OK;negbinomial.size; 2,138020e-17; 5,136509e-17;FBXO42; 708;TRUE
OK;negbinomial.size; 1,975384e-85; 1,499523e-84;SZRD1;3374;TRUE
OK;negbinomial.size; 2,164070e-04; 3,062215e-04;SPATA21;  29;FALSE
OK;negbinomial.size; 7,127964e-24; 2,035849e-23;NECAP2;3101;TRUE
OK;negbinomial.size; 8,329856e-04; 1,131727e-03;RP4-798A10.2; 113;FALSE
OK;negbinomial.size; 8,009548e-03; 1,010927e-02;RP4-798A10.7; 224;TRUE
OK;negbinomial.size; 2,465077e-01; 2,647648e-01;RP4-798A10.4;  81;FALSE
OK;negbinomial.size; 5,929458e-01; 6,037657e-01;RP5-875O13.1;   5;FALSE
OK;negbinomial.size; 2,842379e-16; 6,607822e-16;NBPF1; 619;TRUE
OK;negbinomial.size; 2,829626e-12; 5,753392e-12;CROCC; 359;TRUE
OK;negbinomial.size; 3,942250e-01; 4,116601e-01;RP11-108M9.3;  19;FALSE
OK;negbinomial.size; 6,901973e-15; 1,532748e-14;RP11-108M9.4;1163;TRUE
OK;negbinomial.size; 8,078713e-04; 1,098353e-03;RP11-108M9.6;  45;FALSE
OK;negbinomial.size;1,501260e-144;2,048188e-143;ATP13A2;1410;TRUE
OK;negbinomial.size;1,891843e-126;2,198748e-125;SDHB;3627;TRUE
OK;negbinomial.size;3,798749e-103;3,484223e-102;RCC2;1862;TRUE
OK;negbinomial.size; 1,181709e-01; 1,322596e-01;ARHGEF10L; 160;FALSE
OK;negbinomial.size; 2,639822e-70; 1,648673e-69;ACTL8; 390;TRUE
OK;negbinomial.size; 1,523392e-04; 2,176033e-04;KLHDC7A;  38;FALSE
OK;negbinomial.size; 1,617518e-06; 2,574047e-06;ALDH4A1; 100;FALSE
OK;negbinomial.size; 5,829801e-14; 1,259770e-13;IFFO2; 494;TRUE
OK;negbinomial.size; 6,878807e-26; 2,068592e-25;UBR4;1834;TRUE
OK;negbinomial.size; 1,496055e-04; 2,138003e-04;RP1-43E13.2; 107;FALSE
OK;negbinomial.size; 2,653117e-16; 6,175828e-16;EMC1;1485;TRUE
OK;negbinomial.size; 1,182989e-83; 8,768953e-83;MRTO4;2939;TRUE
OK;negbinomial.size; 3,705330e-52; 1,795991e-51;AKR7A2;3514;TRUE
OK;negbinomial.size; 1,070471e-04; 1,545787e-04;PQLC2;1043;TRUE
OK;negbinomial.size; 2,163064e-83; 1,597449e-82;CAPZB;4059;TRUE
OK;negbinomial.size; 0,000000e+00; 0,000000e+00;MINOS1;4032;TRUE
OK;negbinomial.size;2,545078e-134;3,184537e-133;NBL1;1589;TRUE
OK;negbinomial.size; 1,777903e-08; 3,117229e-08;TMCO4; 404;TRUE
OK;negbinomial.size; 1,497440e-06; 2,388247e-06;OTUD3; 388;TRUE
OK;negbinomial.size; 2,610299e-03; 3,424243e-03;PLA2G2D;  13;FALSE
OK;negbinomial.size; 3,526997e-03; 4,585606e-03;UBXN10-AS1;  16;FALSE
